fecha,T,HR,Vv,Dv,Gh
2008-01-01 00:00,11.15,91.09,1.57,87.96,0
2008-01-01 01:00,10.86,89.9,1.53,72.26,0
2008-01-01 02:00,10.87,89.68,2.22,86.11,0
2008-01-01 03:00,10.75,89.2,1.85,76.69,0
2008-01-01 04:00,10.59,90.81,1.23,107.54,0
2008-01-01 05:00,10.32,91.87,1.96,103.3,0
2008-01-01 06:00,10.42,91.79,1.4,106.73,6.47
2008-01-01 07:00,12.51,81.91,1.09,181.36,161.98
2008-01-01 08:00,15.11,70.96,2.6,99.47,415.52
2008-01-01 09:00,16.37,65.73,2.98,83.19,733.05
2008-01-01 10:00,16.86,62.51,3.46,44.4,440.96
2008-01-01 11:00,18.2,54.32,4.18,37,691.73
2008-01-01 12:00,17.91,54.79,3.65,29.89,389.79
2008-01-01 13:00,17.4,55.81,4.04,50.15,215.26
2008-01-01 14:00,17.95,54.73,3.97,11.24,441.96
2008-01-01 15:00,18.04,53.65,4.03,23.93,321.4
2008-01-01 16:00,15.89,63.06,4.35,61.17,81.85
2008-01-01 17:00,14.14,72.54,3.04,99.85,10.3
2008-01-01 18:00,12.52,84.06,3.11,109.97,0.16
2008-01-01 19:00,11.57,90.82,2.36,94.24,0
2008-01-01 20:00,11.42,91.7,2.04,109.24,0
2008-01-01 21:00,11.18,94.25,1.69,129.05,0
2008-01-01 22:00,10.69,96.13,2.57,105.98,0
2008-01-01 23:00,10.42,96.78,1.71,105.19,0
2008-01-02 00:00,10.5,95.86,2.09,95.53,0
2008-01-02 01:00,10.21,96.08,1.57,110.02,0
2008-01-02 02:00,10.15,95.87,1.28,106.11,0
2008-01-02 03:00,9.99,96.24,1.51,138.46,0
2008-01-02 04:00,9.9,95.14,1.32,98.88,0
2008-01-02 05:00,9.66,93.83,1.29,121.7,0
2008-01-02 06:00,9.63,94.63,1.02,119.27,21.87
2008-01-02 07:00,13.05,80.1,2.21,101.53,204.3
2008-01-02 08:00,14.94,67.13,3.26,125.65,458.62
2008-01-02 09:00,15.12,69.01,3.21,102.23,681.16
2008-01-02 10:00,16.67,64.4,3.61,77.54,786.53
2008-01-02 11:00,17.2,62.1,4.3,53.64,587.63
2008-01-02 12:00,17.9668213753,59.7929961687,1.828,68.878,584.4671778862
2008-01-02 13:00,18.3,56.47,4.57,77.33,430.01
2008-01-02 14:00,17.25,61.1,4.06,34.09,263
2008-01-02 15:00,16.64,62.34,3.31,59.75,98.65
2008-01-02 16:00,15.43,67.59,3.78,57.42,80.02
2008-01-02 17:00,13.57,75.27,4.06,102.66,15.73
2008-01-02 18:00,12.44,73.95,2.99,142.85,0.31
2008-01-02 19:00,12.09,81.12,1.88,101.92,0
2008-01-02 20:00,11.49,88.28,1.97,117.36,0
2008-01-02 21:00,11.07,91.55,1.96,105,0
2008-01-02 22:00,11.08,91.11,1.88,80.49,0
2008-01-02 23:00,11.08,91.08,1.12,89.08,0
2008-01-03 00:00,10.72,93.01,1.81,108.66,0
2008-01-03 01:00,10.81,91.95,0.99,130.55,0
2008-01-03 02:00,10.5,93.34,1.2,121.16,0
2008-01-03 03:00,10.38,93.71,1.53,96.19,0
2008-01-03 04:00,10.36,92.7,1.37,192.03,0
2008-01-03 05:00,10.09,92.88,1.68,126.31,0
2008-01-03 06:00,10.36,92.9,1.13,100.52,17.01
2008-01-03 07:00,10.8,89.17,2.32,92.08,78.37
2008-01-03 08:00,14.78,71.73,2.26,110.86,445.33
2008-01-03 09:00,16.64,63.97,2.34,101,683.22
2008-01-03 10:00,17.61,59.27,3.09,69.66,875.34
2008-01-03 11:00,19.1,53,3.72,35.36,910.83
2008-01-03 12:00,18.07,55.88,3.94,18.37,427.18
2008-01-03 13:00,19.3,51.64,5.03,58.13,877.21
2008-01-03 14:00,17.89,54.91,4.42,25.38,288.01
2008-01-03 15:00,17.06,56.79,5.05,27.48,238.15
2008-01-03 16:00,13.75,71.98,4.95,110.16,51.66
2008-01-03 17:00,11.8,82.45,3.7,198.79,11.07
2008-01-03 18:00,12.03,81.14,2.34,172.13,2
2008-01-03 19:00,11.26,88.44,1.85,129.75,0
2008-01-03 20:00,10.72,91.96,1.86,119.12,0
2008-01-03 21:00,10.42,92.61,1.7,90.34,0
2008-01-03 22:00,10.62,88.99,2.45,209.06,0
2008-01-03 23:00,10.33,87.63,1.66,182.91,0
2008-01-04 00:00,9.61,90.34,1.2,170.56,0
2008-01-04 01:00,9.06,87.1,1.65,190.8,0
2008-01-04 02:00,8.74,83.15,1.45,8.17,0
2008-01-04 03:00,8.23,87.67,0.9,316.09,0
2008-01-04 04:00,7.88,87.36,0.92,281.12,0
2008-01-04 05:00,7.28,88.43,0.89,325.9,0
2008-01-04 06:00,7.83,90.42,1.34,221.33,17.68
2008-01-04 07:00,14.12,61.21,4.23,191.33,216.23
2008-01-04 08:00,15.91,52.56,6.21,198.2,480.95
2008-01-04 09:00,16.78,51.32,5.54,202.72,697.31
2008-01-04 10:00,17.7,49.18,4.57,197.16,851.64
2008-01-04 11:00,19.76,43.54,4.05,125.46,1022.88
2008-01-04 12:00,20.53,41.55,4.3,107.84,968.05
